n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle,R_comparator,R_abs_comparator,comparator,log_R_ratio,log_R_abs_ratio
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.1,0.2,1.16594993,137.52852493,2.6761719499999996,1.3380859799999998,3.0302500400000003,137.2839,1.28515503,155.80107408,CT,-0.09734321165912735,-0.12474867775213193
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.2,0.0,1.129534,137.70475234,2.58759755,1.2937987000000002,2.6715988399999997,135.38495999999998,1.27029189,155.27893340999998,CT,-0.11744155042040046,-0.12011115260741277
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.2,0.05,1.1277675,137.03391325,2.58522791,1.29261395,2.7379048,136.32258,1.26910324,154.86487174,CT,-0.1180705260114728,-0.12232450429350576
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.2,0.1,1.13575542,136.46375648,2.60319608,1.30159803,2.8859572100000004,137.79462,1.27236767,154.59438835,CT,-0.11358147407056488,-0.1247457785538588
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.2,0.2,1.17711931,136.172763,2.6966013099999997,1.34830064,3.29922484,141.77366,1.2935022900000002,154.35981876,CT,-0.09428330200757855,-0.12536196678676823
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.4,0.0,1.16931941,131.8771285,2.6780803200000003,1.33904018,3.42242632,152.53288,1.30010065,149.4578848,CT,-0.10601980584602055,-0.12514400173601448
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.4,0.05,1.16815346,131.21697117,2.67579369,1.3378968699999998,3.49533353,153.62106,1.29924734,149.0941216,CT,-0.10636086480749483,-0.12772557353037342
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.4,0.1,1.17599182,130.78715217,2.69241427,1.34620714,3.6544635,155.0678,1.3033505500000002,148.7902099,CT,-0.10282640129065679,-0.12896611735298935
4,1.5,random,PTA,PTA-HM-AgentPID,latent,HM,Agent,0.4,0.2,1.21871546,130.76801197999998,2.78306151,1.39153077,4.08645474,159.53232,1.3259725800000002,148.43445535,CT,-0.08434881040133174,-0.12671863030588795
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.0,0.0,1.75773207,215.47999642,3.76091939,1.88045963,3.62009207,106.78354,1.70496999,214.32383594,CT,0.030476872097087167,0.005379957932456312
