comparator,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_ratio,ci_low_log_R_ratio,ci_high_log_R_ratio,median_log_R_abs_ratio,ci_low_log_R_abs_ratio,ci_high_log_R_abs_ratio,median_R_ratio_reduction_percent,ci_low_R_ratio_reduction_percent,ci_high_R_ratio_reduction_percent,median_R_abs_ratio_reduction_percent,ci_low_R_abs_ratio_reduction_percent,ci_high_R_abs_ratio_reduction_percent,R_pta_lower,R_abs_pta_lower
LFTA,0.2,0.0,288,24,-0.6508411293036656,-0.768500159145752,-0.46183644252710343,-0.11460192647994077,-0.18457369129960716,-0.0807033819216594,47.839314661813624,36.987460676896035,53.62919647332305,10.82789562011639,7.7532728662412564,16.854133362792577,0.9618055555555556,0.7673611111111112
LFTA,0.2,0.05,288,24,-0.6418344323721618,-0.766170341609906,-0.4603884939404985,-0.1130319746156456,-0.17220039267248022,-0.07485131623677446,47.367397158449506,36.89615567312134,53.521035012807104,10.687789757649224,7.211856302333519,15.818953638354039,0.96875,0.7465277777777778
LFTA,0.2,0.1,288,24,-0.6185648908077999,-0.7474410150599425,-0.4337352538225605,-0.08138878306958122,-0.1295867704516659,-0.039050512816020164,46.128299917433694,35.19161895134301,52.6423120420734,7.8164772162694245,3.829787036330745,12.154163911959792,0.9409722222222222,0.6666666666666666
LFTA,0.2,0.2,288,24,-0.5267692304111943,-0.6562375917272801,-0.3008837768988048,-0.026382671626027122,-0.07485293207785776,0.05866320738646764,40.94903080832169,25.983620812080975,48.12003969790878,2.603768945375251,-6.041803962918402,7.212006233107015,0.8888888888888888,0.5590277777777778
LFTA,0.4,0.0,288,24,-0.5450722381390704,-0.6715147099442655,-0.3693583142483334,-0.11827912809271579,-0.18118560126744856,-0.06650489409412204,42.02001018386654,30.882229274547324,48.906592556275264,11.155197280251183,6.434166335484037,16.571949919303353,0.9201388888888888,0.6770833333333334
LFTA,0.4,0.05,288,24,-0.5322045165025381,-0.6624166106858383,-0.35985571927826454,-0.09063470242271357,-0.14680410558209778,-0.04652799994069103,41.269119046263306,30.222300542301795,48.439618597345245,8.6648705017904,4.546216680692716,13.653689154712401,0.9201388888888888,0.65625
LFTA,0.4,0.1,288,24,-0.5114568349601478,-0.6550296519630215,-0.3155425621804494,-0.0563419696799055,-0.11875569859283366,-0.011218604625463799,40.037860721336806,27.060697417792547,48.05733396614289,5.4784154544328505,1.115591074555855,11.197528004727763,0.8993055555555556,0.6041666666666666
LFTA,0.4,0.2,288,24,-0.4320561137177668,-0.5816097348223934,-0.23383567160688928,0.043447227689051335,-0.03730504502306765,0.1945277036451656,35.08270518445078,20.850813020335924,44.10021963040891,-4.4404877198774395,-21.473713506545657,3.6617784428222055,0.8645833333333334,0.4652777777777778
SBTA,0.0,0.0,288,24,-0.3611955996695011,-0.45835243817130555,-0.22022243710150377,-0.047751590736283864,-0.08294860733036044,-0.0382742677044607,30.31573170628057,19.7659692140696,36.76754183878261,4.662941625019856,3.7551063971494547,7.960155226197429,0.9027777777777778,0.8194444444444444
SBTA,0.0,0.05,288,24,-0.412357253684224,-0.5601692583333646,-0.26199975816459387,-0.10724124210174699,-0.17310661970289704,-0.06556834862609136,33.79122994743929,23.048879019739076,42.888760986368844,10.169106308753573,6.346496631078901,15.895206221721125,0.9583333333333334,0.9236111111111112
