n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.05,0.1,1.35175975,80.24014668,3.1343138699999997,1.56715692,5.39248921,117.28790000000001
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.05,0.2,1.36331469,84.43010663999999,3.16640117,1.5832006,5.67168684,115.14616
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.1,0.0,1.35158278,78.90743578,3.1292590799999997,1.56462957,5.34912874,117.73438
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.1,0.05,1.34910487,78.85180442,3.12401089,1.56200547,5.32843555,117.56966
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.1,0.1,1.35078067,79.77208708,3.13098096,1.56549052,5.42667557,117.03886
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.1,0.2,1.3641568000000002,84.38124794,3.1627801399999997,1.58139011,5.6141615,114.9917
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.2,0.0,1.34366209,78.77967687,3.11092922,1.5554645999999999,5.35078433,116.60408
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.2,0.05,1.3425591,78.72507736,3.10686291,1.55343143,5.358009620000001,117.06178
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.2,0.1,1.3479388399999999,79.35225213,3.11595269,1.55797637,5.38906064,116.92584000000001
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.2,0.2,1.3725241600000002,83.32991387,3.1634466199999998,1.58172332,5.58362123,116.38358
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.4,0.0,1.3652961099999998,76.43431978,3.12186772,1.56093384,5.400413459999999,123.66702
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.4,0.05,1.36622361,76.3349741,3.12268024,1.56134008,5.41806973,123.83868000000001
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.4,0.1,1.37240838,76.758613,3.13465941,1.56732965,5.448514169999999,124.07914000000001
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.4,0.2,1.40422824,80.52510809,3.19842731,1.59921363,5.65015006,124.94296
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.0,0.0,2.01715363,229.92502833999998,4.42306307,2.21153158,4.21066061,54.11992
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.0,0.05,2.01558562,229.57645337000002,4.4201942,2.21009703,4.26493153,54.35434
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.0,0.1,2.02121339,229.24730620999998,4.433287480000001,2.21664377,4.3993701199999995,54.593419999999995
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.0,0.2,2.05420578,228.59774205999997,4.50906995,2.25453496,4.7727195,55.16104
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.05,0.0,2.01787467,229.72553623,4.424904639999999,2.2124523199999997,4.30345702,55.07628
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.05,0.05,2.01641935,229.40462162,4.422162409999999,2.21108114,4.34894976,55.30066
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.05,0.1,2.02225055,229.06542283,4.4356475699999995,2.21782377,4.48319555,55.56902
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.05,0.2,2.05477687,228.40576824,4.51050603,2.25525305,4.83837515,56.14444
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.1,0.0,2.02013953,229.33677564,4.42976175,2.21488086,4.48456207,57.27868
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.1,0.05,2.01882959,228.99920417,4.42730818,2.2136541199999997,4.52385812,57.49098
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.1,0.1,2.0244959,228.67195983000002,4.44031546,2.2201577,4.64580576,57.782439999999994
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.1,0.2,2.0563308399999998,228.01041633,4.51412602,2.25706304,5.00485507,58.42850000000001
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.2,0.0,2.02718144,227.91520796,4.44541559,2.22270782,4.88234088,64.62434
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.2,0.05,2.02600731,227.57191813,4.44298497,2.22149244,4.93204801,64.89098
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.2,0.1,2.0311817,227.22675386999998,4.45567647,2.22783825,5.04022359,65.17072
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.2,0.2,2.0602111300000003,226.53070264000002,4.52617607,2.26308799,5.4050508100000005,65.97269999999999
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.4,0.0,2.04394491,222.17019775,4.49639498,2.24819754,5.6954585699999996,87.55915999999999
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.4,0.05,2.0426105100000003,221.81097038,4.49430516,2.24715263,5.722444299999999,87.8695
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.4,0.1,2.04603169,221.46381214000002,4.50453716,2.2522686100000002,5.80747611,88.22196
4,1.5,random,LFTA,LFTA-HT1,clamped,HT1,,0.4,0.2,2.07026068,220.64607143,4.56931307,2.28465654,6.14143775,89.28703999999999
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.0,0.0,1.5058149900000002,184.67119489,3.35929259,1.6796462500000002,3.3563601899999997,71.99544
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.0,0.05,1.5042579699999998,184.25336542000002,3.35682457,1.6784123,3.4177290799999995,72.24404
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.0,0.1,1.50764834,183.92476451,3.3661335500000003,1.68306676,3.54996706,72.52356
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.0,0.2,1.53018426,183.41558014000003,3.42350683,1.7117534,3.89519729,73.16908000000001
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.05,0.0,1.50641435,184.48896765,3.3607610699999997,1.6803805399999998,3.40040157,72.30296
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.05,0.05,1.50478508,184.10438601,3.35798366,1.6789918499999998,3.45386079,72.60484
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.05,0.1,1.50853094,183.73706296,3.3677527300000003,1.6838763700000001,3.5860090600000003,72.92568
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.05,0.2,1.5307956100000002,183.25324400000002,3.42454876,1.7122743399999998,3.9327504099999997,73.5826
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.1,0.0,1.50771649,184.10704933,3.3631510600000003,1.6815754699999999,3.4997687,73.54894
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.1,0.05,1.50632498,183.71543114,3.3609519999999997,1.6804760300000001,3.54456419,73.84374
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.1,0.1,1.5098522,183.35945971,3.37048496,1.6852425,3.6669880999999998,74.15
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.1,0.2,1.53229051,182.84670953,3.42743041,1.71371521,4.01271022,74.86601999999999
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.2,0.0,1.51263111,182.61417894,3.37429367,1.68714686,3.7706509999999995,78.69279999999999
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.2,0.05,1.51106024,182.21376434,3.3716191199999996,1.68580954,3.81103729,79.009
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.2,0.1,1.51431459,181.83328377,3.38108083,1.69054048,3.9142310200000003,79.3381
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.2,0.2,1.53685691,181.29679553000003,3.43825758,1.7191287700000002,4.25973477,80.15846
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.4,0.0,1.53087806,176.66068062,3.4235211800000003,1.7117605800000002,4.45546238,98.26358
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.4,0.05,1.52956721,176.25242433,3.4211646300000003,1.71058233,4.4947688,98.59064000000001
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.4,0.1,1.53297854,175.87022603000003,3.43058426,1.71529206,4.5956939,99.04338
4,1.5,random,LFTA,LFTA-HT2,clamped,HT2,,0.4,0.2,1.55538152,175.19724436,3.48731141,1.7436557400000001,4.94649662,100.22896
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.0,1.21296897,151.4312083,2.6805887999999998,1.34029437,2.4778716700000003,124.43918
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.05,1.20253257,150.46946339,2.6711705699999997,1.33558531,2.5487299500000002,125.85336
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.1,1.20022353,149.88392183,2.69171154,1.34585577,2.72507122,127.53030000000001
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.0,0.2,1.24234628,149.79575048,2.82197202,1.410986,3.3179247800000002,134.0882
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.0,1.21034704,151.06741707999998,2.68045356,1.34022677,2.50067959,124.86258
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.05,1.20090866,150.15846627000002,2.67232031,1.33616015,2.5728127599999997,126.25638000000001
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.1,1.20003028,149.63838512,2.69357953,1.3467897300000002,2.7513364,127.9751
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.05,0.2,1.24344489,149.59911974,2.82389629,1.41194808,3.33676585,134.53477999999998
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.0,1.20768681,150.46852941,2.68396824,1.3419841099999998,2.58698921,125.87469999999999
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.05,1.19919419,149.69675357,2.67642836,1.33821418,2.65245904,127.11428
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.1,1.20159266,149.25897294,2.69994124,1.34997065,2.83891777,128.9753
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.1,0.2,1.2468580299999998,149.24731056000002,2.8302646900000004,1.41513227,3.3999992700000004,135.52162
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.0,1.20986701,149.46286804,2.70630404,1.35315208,2.8386738300000003,129.67168
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.05,1.20393204,148.63625186,2.69980762,1.34990374,2.9204887100000003,130.98726
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.1,1.21027065,148.20565561,2.72500347,1.3625017700000002,3.10658456,132.99876
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.2,0.2,1.25960862,148.23158098,2.85606032,1.42803019,3.6465058900000002,139.8161
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.0,1.24704941,146.16244667,2.81278256,1.40639127,3.5983868,146.03094
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.05,1.24383594,145.3358026,2.8077389900000003,1.40386949,3.68235995,147.47917999999999
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.1,1.25294547,144.7892276,2.83178491,1.4158924300000002,3.87618473,149.80574000000001
4,1.5,random,PTA,PTA-HM,clamped,HM,Global,0.4,0.2,1.3074647400000001,144.36429844,2.9600053500000003,1.4800027199999999,4.43214947,157.80698
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.0,1.16049951,145.33506301,2.63332624,1.31666315,2.43806689,125.40232
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.05,1.15822941,144.51355169,2.6305268,1.31526346,2.49890223,126.39622
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.1,1.1653456,143.78077392,2.65081387,1.32540694,2.6581587100000004,127.82690000000001
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.0,0.2,1.20456062,143.31075981,2.75340089,1.37670045,3.12788675,131.78488
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.0,1.1617039200000001,145.10885722999998,2.6355633899999997,1.31778166,2.47081201,125.72634
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.05,1.15928021,144.36482526,2.6329134900000004,1.3164568,2.53277627,126.72648
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.1,1.16627958,143.68224229999998,2.65276616,1.3263831099999999,2.68849276,128.194
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.05,0.2,1.20569608,143.20651655,2.75493365,1.37746682,3.1497529500000003,132.09234
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.0,1.1640876199999999,144.67132179,2.64134147,1.32067084,2.56092098,126.61578
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.05,1.16152944,143.98857484,2.63839699,1.31919844,2.6179892799999998,127.66123999999999
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.1,1.16872062,143.31882116999998,2.6580330199999995,1.3290165099999998,2.76937156,129.14114
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.1,0.2,1.2087733900000002,142.90048136,2.7598861900000005,1.3799431000000002,3.2296184699999997,133.23064
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.0,1.17258123,143.18336627,2.6632607999999998,1.33163042,2.8220568100000003,130.78658
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.05,1.17041736,142.45019904999998,2.6605897800000005,1.3302948399999999,2.89219342,131.85906
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.1,1.17781442,141.90480963,2.67952181,1.33976089,3.03993498,133.30578
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.2,0.2,1.21949073,141.56118936000001,2.78038886,1.39019441,3.47959235,137.65676
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.0,1.20844898,137.40671415,2.75098861,1.3754943099999999,3.5569619,148.12294
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.05,1.20657188,136.7235123,2.7480277,1.3740137799999999,3.63538478,149.20402
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.1,1.21455098,136.22746385,2.76620594,1.3831030100000001,3.79548528,150.76702
4,1.5,random,PTA,PTA-HM,latent,HM,Global,0.4,0.2,1.25834987,136.0859233,2.86404632,1.43202314,4.2427902799999995,155.67774
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.0,1.21549414,151.62568692000002,2.67485566,1.33742781,2.44390392,125.00736
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.05,1.20319589,150.54466341,2.6652144,1.33260717,2.53035508,126.76866
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.1,1.19699689,149.84801766,2.68516726,1.34258357,2.7356748,129.10412
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.0,0.2,1.24275219,149.45103271,2.82632896,1.41316449,3.3916294799999998,138.52078
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.0,1.21406877,151.33663264999998,2.67590111,1.33795056,2.47242391,125.40374
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.05,1.20211692,150.31734455,2.6666832,1.33334158,2.55661094,127.12138
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.1,1.19725739,149.69663209,2.68743649,1.3437182300000001,2.75449197,129.39228
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.05,0.2,1.2450156,149.31235326,2.82996506,1.41498248,3.4264748700000003,139.00924
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.0,1.21213829,150.92129982,2.6807946900000004,1.34039734,2.5585856899999997,126.40136000000001
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.05,1.20144615,149.93448783,2.6725645100000004,1.33628229,2.6327317,128.01674
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.1,1.1996653499999999,149.37435389,2.6952631200000003,1.3476315600000002,2.8422411,130.46914
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.1,0.2,1.25001115,149.09367211999998,2.83887776,1.4194388900000001,3.49887227,140.1116
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.0,1.21511946,150.08487068,2.70709714,1.35354857,2.8130143500000004,130.2717
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.05,1.20749836,149.13268806,2.70052456,1.35026231,2.90366358,131.89064
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.1,1.2106797,148.55796444,2.7250502599999997,1.36252507,3.1066735199999997,134.56632
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.2,0.2,1.26490038,148.22538736,2.8691261,1.4345630600000001,3.72840885,144.68254
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.0,1.25507373,147.60228029,2.82532937,1.4126647399999999,3.5842015500000004,146.31592
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.05,1.25068027,146.64388087,2.81886841,1.40943418,3.67198954,148.1159
4,1.5,random,PTA,PTA-HM-AgentPID,clamped,HM,Agent,0.4,0.1,1.2591989,145.80346901000001,2.8432698800000002,1.42163495,3.89311129,151.30124
