family,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_degradation,ci_low_log_R_degradation,ci_high_log_R_degradation,median_log_R_abs_degradation,ci_low_log_R_abs_degradation,ci_high_log_R_abs_degradation,median_R_degradation_percent,ci_low_R_degradation_percent,ci_high_R_degradation_percent,median_R_abs_degradation_percent,ci_low_R_abs_degradation_percent,ci_high_R_abs_degradation_percent
CT,0.2,0.2,72,24,0.04274581040148505,0.025609051644277705,0.08697529700866038,-0.007207451641815301,-0.022103157596512678,0.2937846518509826,4.3672570419029935,2.5939780590297667,9.08697316398967,-0.7181540251300482,-2.186067265546211,34.14949840971992
CT,0.4,0.0,72,24,0.03495573885917615,-0.027846947767595824,0.07476920108595475,-0.07048117503597078,-0.10739753537011823,0.609305108681702,3.557387210425182,-2.74627955987774,7.763540509937352,-6.805471680289632,-10.18314517561051,83.91529432259786
CT,0.4,0.05,72,24,0.041050425877137635,-0.016044735737998736,0.07577575346846956,-0.06137484841765113,-0.11001543340848742,0.5991724537670264,4.19046431763663,-1.5916704621916724,7.872064766897971,-5.95293602368026,-10.41796903709299,82.06115365924732
CT,0.4,0.1,72,24,0.058137875155195334,-0.008794884749892927,0.08622868335220255,-0.05907039147751873,-0.10733571419992557,0.6648893234292315,5.98611141526039,-0.8756322882875536,9.005557736800641,-5.73595870297657,-10.177592420905116,94.42753237029252
CT,0.4,0.2,72,24,0.10079510270081579,0.05040177142831575,0.132250880439161,0.06967762225375476,-0.09473743133125054,0.9831847592213006,10.604999188814222,5.169355192556413,14.139463693775284,7.216248420942521,-9.038826134109122,167.29554202502084
LFTA,0.0,0.0,72,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LFTA,0.0,0.05,72,24,0.0021467672944052198,0.000804056820836851,0.004771507141232353,0.000463178324509548,-0.0006397015506060509,0.001674882761510167,0.21490732491342052,0.08043801611779466,0.47829089087571086,0.04632856081528758,-0.06394969851917232,0.16762861610430946
LFTA,0.0,0.1,72,24,0.011262814349466188,0.005396852186607782,0.0173817729458084,0.002194947537685325,0.000987905441604255,0.0189148771300179,1.1326478631499672,0.5411441426886505,1.7533715025455365,0.2197358198467243,0.09883935809169575,1.909489664278552
LFTA,0.0,0.2,72,24,0.04192165253708738,0.028071033670092532,0.060681614833005715,0.02450283736103425,0.0057621993396073014,0.14889534683395997,4.281277381499654,2.846873773578862,6.256055680574768,2.4805498846263587,0.5778832743204116,16.055152746181676
LFTA,0.05,0.0,72,24,0.00044629094586340324,-0.0007752542111211305,0.004629390013847583,-0.0027724217762629504,-0.005249957678146809,-0.0014755612919035118,0.04463905484842813,-0.07749537792172484,0.46401221945568344,-0.2768582164171234,-0.5236200735320318,-0.14744731865949234
LFTA,0.05,0.05,72,24,0.0011565906134145898,-0.0015249173574654867,0.009627286926240862,-0.0021888927637298255,-0.0030358604455120912,-0.0006114503086848555,0.11572597222749201,-0.15237552617669606,0.9673778328605366,-0.21864988849308203,-0.3031256880961286,-0.06112634110396753
