comparator,kill_percent,step_ratio,effective_step_ratio,operating_conditions,configuration_condition_comparisons,post_removal_R_median_reduction_percent,post_removal_R_ci_low,post_removal_R_ci_high,post_removal_R_abs_median_reduction_percent,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
LFTA,20,1.5,1.2000000000000002,48,576,8.528217905366128,1.485806002865833,25.56587918169168,3.2376053314163626,2.6216227056748895,4.2920760219011065
LFTA,20,2.0,1.6,48,576,49.38287233808035,46.16755035515358,56.60478756654235,6.185864525414175,4.477165837493819,10.559194706033132
LFTA,20,2.5,2.0,48,576,62.513542322840564,58.26191613525174,67.61365527306751,19.87191815484841,8.455537079171716,23.63052064751911
SBTA,20,1.5,1.2000000000000002,48,576,1.3978464821670396,0.24525760888515213,2.7099159464561016,2.283080183214717,1.6533560399194291,2.6742653624679202
SBTA,20,2.0,1.6,48,576,33.14223001177665,28.596315413579234,33.98706846709358,4.773425999076375,3.300907240982509,5.658715001219916
SBTA,20,2.5,2.0,48,576,39.501268396357084,37.25234875569691,43.1841252068882,5.457061680656808,4.41930558607077,6.143237746252603
SETA,20,1.5,1.2000000000000002,48,576,1.5300430606498576,0.977562127452003,2.117961782040717,1.6814296646106175,1.161146290310494,2.1225604450845843
SETA,20,2.0,1.6,48,576,19.77603994203858,19.029998932766794,25.594416379070154,3.2275783052075626,2.223190093871308,3.8331352168918476
SETA,20,2.5,2.0,48,576,24.945900704292846,21.014971223993108,28.472716394587906,2.515482928140206,1.342961375736429,3.3761038546346542
CT,30,1.5,1.0499999999999998,48,576,1.011161560557969,-0.6761024242681546,2.8526695873529464,2.337540922540446,1.4404363525093278,2.600177171824342
CT,30,2.0,1.4,48,576,26.288054903522074,5.918034543124811,29.126582936579087,6.967868984228279,4.1969081204219885,8.878656168149323
CT,30,2.5,1.75,48,576,33.80378006543367,17.121522618417796,36.57077009171118,7.014995479913047,5.448907445140705,7.957281490722612
LFTA,30,1.5,1.0499999999999998,48,576,7.229603312494457,0.23226270451474074,22.651300261074898,2.10293180768282,1.2132507028361716,4.449753254407393
LFTA,30,2.0,1.4,48,576,37.45486610980511,25.828291472639364,42.25708806975214,6.510564039971481,4.481060950221499,10.26682655644992
LFTA,30,2.5,1.75,48,576,56.25642148811559,53.78633349733727,62.95479979331878,19.258452138215564,3.4730883785698996,24.210899077250573
SBTA,30,1.5,1.0499999999999998,48,576,1.351854558890306,-0.08234814136841295,3.176024723489607,1.8130834466706296,1.1396513142470006,2.488128744098797
SBTA,30,2.0,1.4,48,576,16.12132308675363,10.935028498143229,25.38487744866567,4.59593616542093,3.2772642982328515,5.487435343438629
SBTA,30,2.5,1.75,48,576,35.04774166203816,32.53781692595821,36.544240634416596,5.305044905294784,4.698101701186058,5.976624750402005
SETA,30,1.5,1.0499999999999998,48,576,1.1855445807359617,0.8595780081498028,2.2756081452738606,1.1544250056185756,0.9562424147220416,2.0718624856865375
SETA,30,2.0,1.4,48,576,15.072819229403658,12.938104558690632,18.78527808080203,3.0439987468051184,2.2402728181962814,3.6427578396992235
SETA,30,2.5,1.75,48,576,22.761891967900773,21.436695091973256,27.5141182408469,3.297936788063291,2.5634939919485875,4.500799559039975
CT,40,1.5,0.8999999999999999,48,576,-0.44510037680135506,-0.7278807471719495,-0.29489690065998,1.0317800245459419,0.8262520535196272,1.6941020599183843
CT,40,2.0,1.2,48,576,1.0017860757398023,-0.932026265000585,2.836112183511863,2.3505133044749105,2.225263577303982,3.773697730526276
CT,40,2.5,1.5,48,576,30.785336161922608,15.76118131916882,34.27934628569856,7.089024801046571,5.732532498238136,8.530606816322372
LFTA,40,1.5,0.8999999999999999,48,576,-0.037642673989299325,-0.2693942015933537,0.5092994931862493,0.3013422913606817,0.1294135441765487,1.257126440684192
