pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm
50,4,1.5,random,PTA,HM,clamped,Agent,30,PTA-HM-clamped-Agent,100,1.48338165,165.76652268,1.63393425,4.2680977,1.7317836,254.48731656,1.90123883,4.2680977
50,4,1.5,random,PTA,HM,clamped,Agent,40,PTA-HM-clamped-Agent,100,1.6001631,169.87847226000002,1.7614565400000002,5.23398756,1.9653464999999999,262.71121585000003,2.1562833699999997,5.23398756
50,4,1.5,random,PTA,HM,clamped,Agent,50,PTA-HM-clamped-Agent,100,1.7494966500000002,174.17021614,1.92418702,6.6485582,2.2640136,271.29470354,2.48174415,6.6485582
50,4,1.5,random,PTA,HM,clamped,Global,0,PTA-HM-clamped-Global,100,1.2474380999999999,154.88766232,1.37865985,2.72560021,1.2564495,232.42428500999998,1.38285139,2.64191395
50,4,1.5,random,PTA,HM,clamped,Global,5,PTA-HM-clamped-Global,100,1.2754104,156.43994102,1.4093347,2.84009323,1.3123941,235.52884232,1.4442008999999998,2.8160391700000003
50,4,1.5,random,PTA,HM,clamped,Global,10,PTA-HM-clamped-Global,100,1.31936265,158.67191623,1.4570393899999998,3.08049831,1.4002986000000002,239.9927928,1.5396104800000001,3.0777729
50,4,1.5,random,PTA,HM,clamped,Global,20,PTA-HM-clamped-Global,100,1.4003073000000001,162.49956089,1.54653103,3.66492091,1.5621879,247.64808201,1.71859351,3.66492091
50,4,1.5,random,PTA,HM,clamped,Global,30,PTA-HM-clamped-Global,100,1.4967082500000002,166.47518965,1.65191713,4.33376542,1.7549898,255.59933958000002,1.92936581,4.33376542
50,4,1.5,random,PTA,HM,clamped,Global,40,PTA-HM-clamped-Global,100,1.6122975,170.52225929,1.77805257,5.26313298,1.9861682999999999,263.69347896,2.1816366300000003,5.26313298
50,4,1.5,random,PTA,HM,clamped,Global,50,PTA-HM-clamped-Global,100,1.7615886,174.69410091999998,1.94136032,6.65847881,2.2847505,272.03716217,2.50825217,6.65847881
50,4,1.5,random,PTA,HM,latent,Agent,0,PTA-HM-latent-Agent,100,1.16094285,144.23890367,1.31972584,2.57124449,1.1616831,215.9589691,1.3178409500000001,2.49328586
50,4,1.5,random,PTA,HM,latent,Agent,5,PTA-HM-latent-Agent,100,1.1898431999999999,145.85524983,1.3500592599999999,2.66638379,1.2194838,219.19166151000002,1.37850775,2.64070365
50,4,1.5,random,PTA,HM,latent,Agent,10,PTA-HM-latent-Agent,100,1.23433905,148.21410892,1.39675358,2.91130714,1.3084755000000001,223.90937966,1.4718963500000002,2.90918196
50,4,1.5,random,PTA,HM,latent,Agent,20,PTA-HM-latent-Agent,100,1.3133097,152.16097368,1.4819858199999998,3.4327486599999997,1.4664168000000002,231.80310907999998,1.64236083,3.4327486599999997
50,4,1.5,random,PTA,HM,latent,Agent,30,PTA-HM-latent-Agent,100,1.40901375,156.32620409999998,1.5857779600000002,4.09955133,1.6578249,240.13356985,1.84994507,4.09955133
50,4,1.5,random,PTA,HM,latent,Agent,40,PTA-HM-latent-Agent,100,1.5271479,160.63349309,1.7137494000000002,5.08111315,1.8940932000000001,248.74814798,2.10588812,5.08111315
50,4,1.5,random,PTA,HM,latent,Agent,50,PTA-HM-latent-Agent,100,1.6762683,165.16421017000002,1.87585599,6.554739540000001,2.192334,257.80958213,2.43010116,6.554739540000001
50,4,1.5,random,PTA,HM,latent,Global,0,PTA-HM-latent-Global,100,1.2064941,149.77901669000002,1.3597313500000001,2.7191137,1.2075585,224.26357255,1.35850062,2.63135834
50,4,1.5,random,PTA,HM,latent,Global,5,PTA-HM-latent-Global,100,1.2340038,151.33555449,1.38912298,2.8168341299999997,1.2625779,227.37664818000002,1.4172839,2.7911388599999998
50,4,1.5,random,PTA,HM,latent,Global,10,PTA-HM-latent-Global,100,1.27891545,153.67842735,1.4370947799999998,3.0761206800000003,1.3524011999999999,232.06239383,1.5132274899999998,3.07064084
50,4,1.5,random,PTA,HM,latent,Global,20,PTA-HM-latent-Global,100,1.3595286,157.55012877,1.52494023,3.6206980700000004,1.5136275000000001,239.8057967,1.68891844,3.6206980700000004
50,4,1.5,random,PTA,HM,latent,Global,30,PTA-HM-latent-Global,100,1.45505685,161.47656845,1.62880517,4.28588899,1.704684,247.65867618000001,1.89664815,4.28588899
50,4,1.5,random,PTA,HM,latent,Global,40,PTA-HM-latent-Global,100,1.57079535,165.60219949999998,1.75510545,5.21268315,1.9361609999999998,255.90993812,2.1492488,5.21268315
50,4,1.5,random,PTA,HM,latent,Global,50,PTA-HM-latent-Global,100,1.7232666,170.14205128,1.92056631,6.64931695,2.2411035,264.98964175000003,2.4801705999999997,6.64931695
50,4,1.5,random,PTA,HT1,clamped,Agent,0,PTA-HT1-clamped-Agent,100,1.75714935,212.79451356,1.8754872900000001,3.8035738199999996,1.7857479,319.69721569,1.9076860400000002,3.76088614
50,4,1.5,random,PTA,HT1,clamped,Agent,5,PTA-HT1-clamped-Agent,100,1.7724793500000002,213.44007430000002,1.894212,3.85386811,1.8164079000000002,320.98833715,1.94513555,3.82403363
50,4,1.5,random,PTA,HT1,clamped,Agent,10,PTA-HT1-clamped-Agent,100,1.7967244500000001,214.48132857000002,1.9237297,3.9411410399999998,1.8648981,323.07084572,2.0041708700000003,3.9205248
50,4,1.5,random,PTA,HT1,clamped,Agent,20,PTA-HT1-clamped-Agent,100,1.8437545499999999,216.31140384,1.97962675,4.10551856,1.9589583,326.73099631,2.11596497,4.09791138
50,4,1.5,random,PTA,HT1,clamped,Agent,30,PTA-HT1-clamped-Agent,100,1.90325115,218.25552775,2.04718382,4.39766992,2.0779515,330.6192441,2.25107914,4.39766992
50,4,1.5,random,PTA,HT1,clamped,Agent,40,PTA-HT1-clamped-Agent,100,1.98094665,220.21582757,2.1330822,5.186654979999999,2.2333425,334.53984369,2.42287599,5.186654979999999
50,4,1.5,random,PTA,HT1,clamped,Agent,50,PTA-HT1-clamped-Agent,100,2.0895063,222.51598414,2.25420276,6.67059027,2.4504618,339.14015688,2.6651172,6.67059027
50,4,1.5,random,PTA,HT1,clamped,Global,0,PTA-HT1-clamped-Global,100,1.77866925,216.69175941,1.9041242500000002,3.70124421,1.7984505000000002,325.09539484,1.92500884,3.6415925700000003
50,4,1.5,random,PTA,HT1,clamped,Global,5,PTA-HT1-clamped-Global,100,1.7950371,217.3655144,1.92414651,3.74748884,1.8311861999999999,326.44290467999997,1.96505335,3.71198112
50,4,1.5,random,PTA,HT1,clamped,Global,10,PTA-HT1-clamped-Global,100,1.8216230999999998,218.4295606,1.9559751499999998,3.86055356,1.8843582,328.57099709,2.02871071,3.8431056100000003
50,4,1.5,random,PTA,HT1,clamped,Global,20,PTA-HT1-clamped-Global,100,1.87501905,220.2787788,2.01857559,4.11236799,1.9911501,332.26943357999994,2.15391157,4.11236799
50,4,1.5,random,PTA,HT1,clamped,Global,30,PTA-HT1-clamped-Global,100,1.94563575,222.38115129000002,2.09740797,4.55806966,2.1323835,336.4741786,2.3115764,4.55806966
50,4,1.5,random,PTA,HT1,clamped,Global,40,PTA-HT1-clamped-Global,100,2.0341797,224.50242405,2.19471045,5.3966837299999995,2.3094714,340.71672401,2.50618131,5.3966837299999995
50,4,1.5,random,PTA,HT1,clamped,Global,50,PTA-HT1-clamped-Global,100,2.1499335,226.77807838,2.3226385400000003,6.851552430000001,2.540979,345.26803264,2.76203748,6.851552430000001
50,4,1.5,random,PTA,HT1,latent,Agent,0,PTA-HT1-latent-Agent,100,1.65278145,203.49106066000002,1.76384752,3.57682988,1.6564761000000001,304.60405782000004,1.76736596,3.48171435
50,4,1.5,random,PTA,HT1,latent,Agent,5,PTA-HT1-latent-Agent,100,1.6701610500000001,204.32478387,1.7845981599999998,3.62923087,1.6912352999999998,306.27150423,1.8088673700000002,3.55733657
50,4,1.5,random,PTA,HT1,latent,Agent,10,PTA-HT1-latent-Agent,100,1.6986264,205.61454917,1.81802136,3.7240618100000002,1.7481659999999999,308.85103476,1.8757136600000002,3.6904915099999998
50,4,1.5,random,PTA,HT1,latent,Agent,20,PTA-HT1-latent-Agent,100,1.7544967500000002,207.86779915,1.88354629,4.02202087,1.8599067,313.35753468999997,2.0067635999999998,4.02202087
50,4,1.5,random,PTA,HT1,latent,Agent,30,PTA-HT1-latent-Agent,100,1.8269505000000001,210.26450178,1.96656949,4.517513109999999,2.0048142,318.15093996,2.1728099700000003,4.517513109999999
50,4,1.5,random,PTA,HT1,latent,Agent,40,PTA-HT1-latent-Agent,100,1.9184959499999998,212.71903367,2.06963353,5.37706405,2.1879051,323.06000374,2.37893813,5.37706405
50,4,1.5,random,PTA,HT1,latent,Agent,50,PTA-HT1-latent-Agent,100,2.04433215,215.45966718,2.2108678900000003,6.804390079999999,2.4395775,328.54127063,2.6614066800000002,6.804390079999999
50,4,1.5,random,PTA,HT1,latent,Global,0,PTA-HT1-latent-Global,100,1.7328832499999998,212.66584361000002,1.85531146,3.6034583500000004,1.7383338000000002,318.36656276,1.85997085,3.5058125799999997
50,4,1.5,random,PTA,HT1,latent,Global,5,PTA-HT1-latent-Global,100,1.7487616499999998,213.38955658999998,1.8747436,3.65656721,1.7700906,319.81398852,1.89883513,3.58795426
