pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm,comparator_post_removal_R,comparator_post_removal_R_abs,comparator,post_removal_R_reduction_percent,post_removal_R_pta_lower,post_removal_R_abs_reduction_percent,post_removal_R_abs_pta_lower
500,4,1.5,sharp,PTA,HM,clamped,Global,5,PTA-HM-clamped-Global,100,1.68425518,2.14368686,2.18662485,2.90922241,1.79142465,2.6695799599999996,2.30928858,2.90047799,2.04395709,1.8959305599999998,SETA,12.355075418926731,True,-40.805787739399065,False
500,4,1.5,sharp,PTA,HM,clamped,Global,10,PTA-HM-clamped-Global,100,1.79243114,2.29527547,2.31470571,3.1958398999999997,2.00777673,2.97275717,2.5654503999999996,3.1958398999999997,2.24929452,2.08604124,SETA,10.73749070441874,True,-42.50711409713068,False
500,4,1.5,sharp,PTA,HM,clamped,Global,20,PTA-HM-clamped-Global,100,2.01112708,2.48446011,2.60541305,3.8624268,2.44516899,3.3511265000000003,3.14686505,3.8624268,2.7414865200000005,2.54012234,SETA,10.80864442842493,True,-31.927759825930302,False
500,4,1.5,sharp,PTA,HM,clamped,Global,30,PTA-HM-clamped-Global,100,2.19919551,2.69916621,2.8376153,4.49133385,2.82130518,3.78053875,3.61126941,4.49133385,3.3299624999999997,3.0912012399999997,SETA,15.275166612236612,True,-22.299988143120707,False
500,4,1.5,sharp,PTA,HM,clamped,Global,40,PTA-HM-clamped-Global,100,17.44151633,16.07691845,20.65129717,72.00253767999999,33.305947110000005,30.53604322,39.2386332,72.00253767999999,36.08052516,31.21706956,SETA,7.6899602699685214,True,2.1815831838124633,True
500,4,1.5,sharp,PTA,HM,clamped,Global,50,PTA-HM-clamped-Global,100,25.28344878,30.17835758,28.608207269999998,84.63456620999999,48.989812140000005,58.73892138,55.15245342,84.63456620999999,49.58816769,58.260078359999994,SETA,1.206649847884289,True,-0.821905897621944,False
500,4,1.5,sharp,PTA,HM,latent,Agent,0,PTA-HM-latent-Agent,100,1.36245562,1.2178239100000001,1.86881614,2.42411692,1.3616664600000001,1.17906268,1.8707246499999999,2.35096407,1.8313833,2.63674849,SETA,25.64819936929641,True,55.28346050176367,True
500,4,1.5,sharp,PTA,HM,latent,Agent,5,PTA-HM-latent-Agent,100,1.4393062699999999,1.28874519,1.97562857,2.58440572,1.51536774,1.32090533,2.08434937,2.58440572,1.97422167,2.56107531,SETA,23.242269952390902,True,48.42379976713765,True
500,4,1.5,sharp,PTA,HM,latent,Agent,10,PTA-HM-latent-Agent,100,1.5247811999999998,1.36924036,2.09399653,2.86017555,1.68631752,1.48189552,2.32108532,2.86017555,2.21765394,2.79982629,SETA,23.959392870828168,True,47.07187637701623,True
500,4,1.5,sharp,PTA,HM,latent,Agent,20,PTA-HM-latent-Agent,100,1.72581984,1.56142654,2.37141831,3.51928814,2.08839495,1.8662678700000002,2.87592893,3.51928814,2.68780143,3.15897564,SETA,22.300995650560385,True,40.921739111606435,True
500,4,1.5,sharp,PTA,HM,latent,Agent,30,PTA-HM-latent-Agent,100,1.99550503,1.81744961,2.7375849199999998,4.40094316,2.6277653099999996,2.37831409,3.60826213,4.40094316,3.0959849100000003,3.0670520800000003,SETA,15.12344580516708,True,22.456025265798562,True
