pop,n,step_ratio,pattern,threshold_range,added_term,comparison,baseline,with_term,baseline_mean_r2,with_term_mean_r2,condition_mean_reduction,relative_reduction_percent,term_reduced_error,wilcoxon_statistic,p_value,q_value,significant,baseline_mean_r2_norm,with_term_mean_r2_norm,condition_mean_reduction_norm
500,4,2.5,sharp,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,1.87116417,0.5629148800000001,1.3082492900000002,69.91632861375281,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.935582085,0.28145744,0.6541246450000001
500,4,2.5,zigzag,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,3.910521750000001,1.05212106,2.85840069,73.09512317633828,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.9552608750000005,0.52606053,1.429200345
500,4,2.5,zigzag,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,2.97955708,0.7171075600000002,2.26244952,75.93241073267171,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.48977854,0.3585537800000001,1.13122476
500,12,1.5,random,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,5.375333750000002,0.92019635,4.4551374,82.88113086931575,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.551725193773291,0.2656378051899055,1.2860873885833848
500,12,1.5,random,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,4.355125470000001,1.642499,2.71262647,62.28583972346495,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.257216431229548,0.4741486198968456,0.7830678113327022
500,12,1.5,scurve,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,7.532943100000001,2.7383170600000004,4.79462604,63.648775469975334,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.1745733632875672,0.7904840458587725,1.3840893174287947
500,12,1.5,scurve,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,8.05320508,4.7561174,3.29708768,40.941310288847134,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.324760060388631,1.3729728305937317,0.9517872297948996
500,12,1.5,sharp,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,4.199964690000001,0.5555092899999999,3.6444553999999982,86.77347713606606,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.2124253721792118,0.1603617190594189,1.0520636531197922
500,12,1.5,sharp,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,4.63879997,1.86900783,2.769792139999999,59.70923855119364,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.339106205698164,0.5395360868840091,0.7995701188141545
500,12,1.5,zigzag,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,7.396641939999999,2.60646643,4.79017551,64.76148972543074,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.135226607579138,0.7524220474971114,1.3828045600820265
500,12,1.5,zigzag,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,7.997659349999999,4.622464310000001,3.3751950400000004,42.20228559747297,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.3087253893047137,1.3343905068489692,0.9743348824557452
500,12,2.5,random,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,3.9479886,1.2873050499999998,2.6606835500000003,67.39339495559841,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.139686140483787,0.3716129585733323,0.7680731819104547
500,12,2.5,random,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,2.59661174,0.71411746,1.88249428,72.49810400995877,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.7495772435349713,0.2061479538820059,0.5434292896529654
500,12,2.5,scurve,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,3.0360414899999997,3.6190408,-0.5829993099999999,-19.20261340038538,False,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.8764296857611862,1.0447270900441197,-0.168297404282933
500,12,2.5,scurve,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,3.11746683,1.55071586,1.5667509700000002,50.25718172597205,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.8999351567451147,0.447653109603811,0.4522820471413037
500,12,2.5,sharp,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,2.5328818600000003,0.90345188,1.6294299800000005,64.33106911666223,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.7311800118482601,0.2608040930589367,0.4703759187893234
500,12,2.5,sharp,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,1.90875413,0.67938421,1.22936992,64.40692914178528,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.551009855386155,0.1961213282633406,0.3548885271228143
500,12,2.5,zigzag,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,4.17550417,1.39944787,2.7760562999999996,66.48433786619832,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.2053642282759525,0.4039858022306742,0.8013784260452782
500,12,2.5,zigzag,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,3.1878216800000003,1.0918027099999998,2.09601897,65.75082236092953,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.9202448525382628,0.3151762942602314,0.6050685582780311
500,4,1.5,random,HT1,I,P $\rightarrow$ PI,P,PI,3.665833239999999,3.65574807,0.01008517,0.2751126235082106,True,2173.0,0.2261675012037366,0.3574004957293616,False,1.8329166199999996,1.827874035,0.005042585
500,4,1.5,random,HT2,I,P $\rightarrow$ PI,P,PI,3.2996193300000005,3.29992745,-0.00030812,-0.0093380468831233,False,2466.0,0.8392435483441993,0.902715749479475,False,1.6498096650000005,1.649963725,-0.00015406
500,4,1.5,scurve,HT1,I,P $\rightarrow$ PI,P,PI,6.81222332,6.8214852399999995,-0.00926192,-0.1359603108255125,False,2278.0,0.3957331638521872,0.5691443255402244,False,3.40611166,3.4107426199999997,-0.00463096
500,4,1.5,scurve,HT2,I,P $\rightarrow$ PI,P,PI,7.156144069999999,7.191550970000001,-0.0354069,-0.4947762321951133,False,1964.0,0.0537432483801821,0.0955435526758793,False,3.5780720349999995,3.5957754850000003,-0.01770345
500,4,1.5,sharp,HT1,I,P $\rightarrow$ PI,P,PI,4.0852565400000005,4.08335689,0.00189965,0.0465001397439784,True,2375.0,0.6060299176865905,0.7336125220658085,False,2.04262827,2.041678445,0.000949825
500,4,1.5,sharp,HT2,I,P $\rightarrow$ PI,P,PI,4.6224704800000005,4.63672151,-0.0142510299999999,-0.3082989942642096,False,2057.0,0.1075866010971145,0.1811984860582981,False,2.31123524,2.318360755,-0.0071255149999999
500,4,1.5,zigzag,HT1,I,P $\rightarrow$ PI,P,PI,6.99624141,6.898168579999999,0.09807283,1.4017931093661335,True,440.0,7.559872298793198e-13,1.5359740543579832e-12,True,3.498120705,3.4490842899999996,0.049036415
500,4,1.5,zigzag,HT2,I,P $\rightarrow$ PI,P,PI,7.68669755,7.674682279999998,0.0120152699999999,0.156312511606496,True,2357.0,0.5635081585027861,0.7129863986325891,False,3.843348775,3.837341139999999,0.0060076349999999
500,4,2.5,random,HT1,I,P $\rightarrow$ PI,P,PI,2.7177122799999993,2.71613794,0.0015743399999999,0.0579288694975464,True,2324.0,0.4895006306680896,0.6526675075574527,False,1.3588561399999997,1.35806897,0.0007871699999999
