pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,run_method_id,config_label,R,R_abs
100,8,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.27258611,8.85607768
100,8,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.28053374999999997,0.45823436
100,8,2.0,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.40067239,11.981214379999999
100,8,2.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.28927977,12.870399990000001
100,8,2.5,scurve,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.23873448,8.83632266
100,8,2.5,sharp,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.22431861,0.78846858
100,8,2.5,zigzag,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.30423466,11.869523919999999
100,12,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.61307694,26.311153370000003
100,12,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.5254741700000001,7.38108383
100,12,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.23739311999999999,0.35350889
100,12,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.54643819,8.4744897
100,12,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.3499155,13.54086753
100,12,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.20548358,7.1456159
100,12,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.1947882,0.33097883000000006
100,12,2.0,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.27879943,8.27161739
100,12,2.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.21912889,9.12099016
100,12,2.5,scurve,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.16568045,7.125923330000001
100,12,2.5,sharp,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.18308588,0.49592861
100,12,2.5,zigzag,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.2079047,8.19059236
500,4,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,1.115062,139.94107222
500,4,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.96738352,11.46866417
500,4,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.6919507899999999,0.75253049
500,4,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,1.4911058099999999,26.58979995
500,4,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.70039326,85.86575959
500,4,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.31815909000000003,11.02529857
500,4,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.48683424000000003,0.5458801600000001
500,4,2.0,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.7049926499999999,26.027399730000003
500,4,2.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.40615327,37.69178942
500,4,2.5,scurve,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.36189182000000003,11.00536988
500,4,2.5,sharp,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.28273339,1.36410278
500,4,2.5,zigzag,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.53099601,25.5569902
500,8,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.7578198399999999,47.825589120000004
500,8,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.6586989,9.119845699999999
500,8,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.3395296,0.45926018
500,8,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.78306581,12.239441609999998
