comparator,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_ratio,ci_low_log_R_ratio,ci_high_log_R_ratio,median_log_R_abs_ratio,ci_low_log_R_abs_ratio,ci_high_log_R_abs_ratio,median_R_ratio_reduction_percent,ci_low_R_ratio_reduction_percent,ci_high_R_ratio_reduction_percent,median_R_abs_ratio_reduction_percent,ci_low_R_abs_ratio_reduction_percent,ci_high_R_abs_ratio_reduction_percent,R_pta_lower,R_abs_pta_lower
LFTA,0.4,0.0,288,24,-0.5450722381390704,-0.6715147099442655,-0.3693583142483334,-0.11827912809271579,-0.18118560126744856,-0.06650489409412204,42.02001018386654,30.882229274547324,48.906592556275264,11.155197280251183,6.434166335484037,16.571949919303353,0.9201388888888888,0.6770833333333334
LFTA,0.4,0.1,288,24,-0.5114568349601478,-0.6550296519630215,-0.3155425621804494,-0.0563419696799055,-0.11875569859283366,-0.011218604625463799,40.037860721336806,27.060697417792547,48.05733396614289,5.4784154544328505,1.115591074555855,11.197528004727763,0.8993055555555556,0.6041666666666666
LFTA,0.4,0.2,288,24,-0.4320561137177668,-0.5816097348223934,-0.23383567160688928,0.043447227689051335,-0.03730504502306765,0.1945277036451656,35.08270518445078,20.850813020335924,44.10021963040891,-4.4404877198774395,-21.473713506545657,3.6617784428222055,0.8645833333333334,0.4652777777777778
SBTA,0.0,0.0,288,24,-0.3611955996695011,-0.45835243817130555,-0.22022243710150377,-0.047751590736283864,-0.08294860733036044,-0.0382742677044607,30.31573170628057,19.7659692140696,36.76754183878261,4.662941625019856,3.7551063971494547,7.960155226197429,0.9027777777777778,0.8194444444444444
SBTA,0.0,0.1,288,24,-0.3937304184794632,-0.5399158464706104,-0.2616351127926306,-0.12299511537583319,-0.33415199868856266,-0.06988543556103899,32.54641258614227,23.020814033033453,41.72027052403114,11.573201813297407,6.7499354800110485,28.40550487373389,0.9722222222222222,0.9236111111111112
SBTA,0.0,0.2,288,24,-0.38216225973992324,-0.5308696268765515,-0.19953109794965548,-0.17558337359715254,-0.598251545500238,-0.08996058596746911,31.761567928048684,18.088525237233966,41.19066745209311,16.103255347642488,8.603279230541471,45.022795235804914,0.8263888888888888,0.8263888888888888
SBTA,0.2,0.0,288,24,-0.21356327537971037,-0.301110563834535,-0.12692587837181604,-0.039364195036002386,-0.05654871383912953,-0.022300697313026287,19.229894905708832,11.920104356959161,26.000404856637893,3.8599491913161588,2.2053874937706275,5.497955220022444,0.8298611111111112,0.6875
SBTA,0.2,0.1,288,24,-0.2953409983672838,-0.37974967184770386,-0.16801682915532742,-0.08281461665398407,-0.12951003990588641,-0.05740536571918205,25.572225330770337,15.466039178662172,31.59673795960528,7.947821918886966,5.5788759089732025,12.147423194406137,0.875,0.84375
SBTA,0.2,0.2,288,24,-0.276970526775124,-0.39570751576231333,-0.1396122073951026,-0.11272241867847443,-0.2689068347949145,-0.07549520067091259,24.192316024957684,13.030456852965411,32.67964314225258,10.660138353099413,7.27158191347389,23.57855494722826,0.8055555555555556,0.7777777777777778
SBTA,0.4,0.0,288,24,-0.15748773013254064,-0.23221961129338373,-0.0858506659687479,-0.05284980101331567,-0.07126350583956804,-0.03730822164809244,14.571270446393815,8.226873050226269,20.7227997496892,5.147753110269848,3.662084472741578,6.87835211849781,0.7673611111111112,0.6388888888888888
SBTA,0.4,0.1,288,24,-0.1908850258934404,-0.26984461475141425,-0.09252414524512687,-0.0650813294682287,-0.09371296124792089,-0.05124276747780153,17.37724225320324,8.837280076346632,23.65018785344397,6.300874472206342,4.995199822305796,8.945591382786699,0.7569444444444444,0.7152777777777778
SBTA,0.4,0.2,288,24,-0.13848409375583037,-0.24179126403522733,-0.04267845140751159,-0.04545220280073757,-0.07394202766662554,-0.01348831906436239,12.932289963847632,4.178054534755205,21.477993588563372,4.443472517570813,1.3397759312301805,7.127446733311594,0.6944444444444444,0.6180555555555556
SETA,0.0,0.0,288,24,-0.22267652548722183,-0.30270872162184526,-0.14484621155513003,-0.03273969977334332,-0.053490915599607725,-0.017562097302559747,19.962629207957693,13.484466622622726,26.11857343470616,3.2209557123391686,1.7408782493564812,5.208544779998081,0.8229166666666666,0.7326388888888888
SETA,0.0,0.1,288,24,-0.22410364106133127,-0.28950034440203903,-0.13339604990116843,-0.033665903703471396,-0.03954364143423497,-0.018497641079950364,20.076770320673777,12.488156710273046,25.136246492144675,3.310551345193813,1.8327609724256178,3.877199629348893,0.8854166666666666,0.6770833333333334
SETA,0.0,0.2,288,24,-0.19446672733039727,-0.2684326975495049,-0.09364248406593968,-0.02379132636554695,-0.050877716498274134,0.02678853931187232,17.67264296896851,8.939173898519947,23.542312102418382,2.3510543897265146,-2.7150577829033296,4.96051189589558,0.7847222222222222,0.5902777777777778
SETA,0.2,0.0,288,24,-0.17706706515704995,-0.24676450380929263,-0.11718555903254062,-0.020978700181353213,-0.034418867453531565,-0.009713225335418924,16.227639942581472,11.057986209017434,21.867532914876165,2.076017802205088,0.9666204327243411,3.383327592667673,0.8472222222222222,0.6180555555555556
