pop,n,step_ratio,pattern,threshold_range,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
100,4,1.5,scurve,HT1,2.3373988800000003,12.24321271,2.63335951,12.524292370000001,-0.11922168990986794,-0.022698429019210344
100,4,1.5,scurve,HT2,3.12483966,12.76473334,3.17668663,12.87428734,-0.016455740271393765,-0.008545932242961022
100,4,1.5,sharp,HM,1.8276600600000001,2.24305993,1.87929564,1.7723602500000002,-0.02786055412709876,0.2355288409871011
100,4,1.5,sharp,HT1,1.46278542,1.83414396,1.71641077,2.96452065,-0.15989290881947626,-0.48013748405614765
100,4,1.5,sharp,HT2,1.7566050999999998,2.12946723,1.81101497,2.43090506,-0.03050441918575434,-0.13239181901021932
100,4,1.5,zigzag,HM,2.8233007700000003,24.976928429999997,3.70738718,27.95218086,-0.27242067807673576,-0.11254268778040627
100,4,1.5,zigzag,HT1,2.75387716,28.503011360000002,3.10698828,30.60682199,-0.12064406317673118,-0.07121318151320916
100,4,1.5,zigzag,HT2,3.3823316699999997,29.121972890000002,3.55184751,29.522929100000002,-0.0489025786073813,-0.013674247687672579
100,4,2.0,random,HM,0.8737272,108.13282484,0.8648372999999999,108.98969573000001,0.010226802032233862,-0.007893012077311867
100,4,2.0,random,HT1,1.4981262000000002,187.80253069999998,1.5070254,188.85422639,-0.005922646973045897,-0.005584386332270063
100,4,2.0,random,HT2,1.2394794,155.61477781,1.2417776999999999,155.74571027,-0.0018525292339014122,-0.0008410345739447835
100,4,2.0,scurve,HM,1.50752473,10.97221356,1.5240942100000001,11.53610838,-0.010931218811030024,-0.050115938459701935
100,4,2.0,scurve,HT1,1.462677,11.708073449999999,1.88259626,12.05379784,-0.25238349507286445,-0.02910114142575656
100,4,2.0,scurve,HT2,1.73858542,11.892293709999999,1.8740658300000002,12.03202278,-0.07503850569764138,-0.011681057543027748
100,4,2.0,sharp,HM,1.064097,2.15671263,1.0386777,0.96747484,0.024178090300631908,0.8016509914120977
100,4,2.0,sharp,HT1,1.0896552,1.53230295,1.3076763,2.6724415699999997,-0.1823904294204372,-0.5562207004436862
100,4,2.0,sharp,HT2,1.1292195,1.5714064300000001,1.1793984,1.8652266700000002,-0.04347779185033127,-0.17141155094073068
100,4,2.0,zigzag,HM,1.61462013,24.219220489999998,1.7973876100000001,26.59805889,-0.10723456754280272,-0.093691686015971
100,4,2.0,zigzag,HT1,1.8270140499999998,27.624164139999998,2.18723536,29.3995311,-0.1799553860766371,-0.0622878232332702
100,4,2.0,zigzag,HT2,1.9339148700000002,27.831241839999997,2.06462813,28.15076632,-0.06540374938961639,-0.011415380058279884
100,4,2.5,random,HM,0.54909949,65.56262172,0.52843741,66.33685837,0.03835527671236517,-0.011739933196830787
100,4,2.5,random,HT1,1.329849,167.41936938999999,1.3391073800000002,168.42164314000001,-0.006937855714789624,-0.005968757168975242
100,4,2.5,random,HT2,0.9687667799999999,122.38417135,0.97040327,122.58169536999999,-0.0016878255607306973,-0.001612666004884793
100,4,2.5,scurve,HM,1.45578915,10.92677467,0.97462992,11.21650525,0.40124557399710703,-0.026170207552116503
100,4,2.5,scurve,HT1,1.28211702,11.59170574,1.55324218,11.85196075,-0.1918318417601807,-0.022203498080400147
100,4,2.5,scurve,HT2,1.21935579,11.57956768,1.31246018,11.68855311,-0.07358069767696288,-0.009367858109373156
100,4,2.5,sharp,HM,0.71458778,2.64101436,0.5464329099999999,0.5541598400000001,0.26829430792422077,1.5614651846276628
100,4,2.5,sharp,HT1,0.86417557,1.25986432,1.06613483,2.45432629,-0.21001912472492626,-0.6668482673346529
100,4,2.5,sharp,HT2,0.74716094,1.27478388,0.79321876,1.5970507699999998,-0.059818437012107345,-0.22538200122512436
100,4,2.5,zigzag,HM,1.19215246,23.84006765,0.91445138,25.956362979999998,0.26519144137772893,-0.08504910123543054
100,4,2.5,zigzag,HT1,1.46567699,27.223694530000003,1.75369329,28.79327822,-0.17940677054528062,-0.05605424824063814
100,4,2.5,zigzag,HT2,1.27490181,27.26987954,1.38662831,27.523277349999997,-0.08400596028467049,-0.009249316188084694
100,8,1.5,random,HM,0.91218204,56.44173771,0.90722649,57.350854829999996,0.005447443136375845,-0.015978833821141358
100,8,1.5,random,HT1,1.53802271,96.42349175999999,1.54737669,97.41643386,-0.006063402137252315,-0.0102450594927268
100,8,1.5,random,HT2,1.26460917,79.79694249,1.26823205,80.03725102,-0.0028607260827265947,-0.0030069749881821094
100,8,1.5,scurve,HM,1.42481286,9.192093589999999,1.77195513,9.741760339999999,-0.21804305141109265,-0.05807811220939704
100,8,1.5,scurve,HT1,1.6031948,9.75462617,1.76257588,9.97549826,-0.09477791886965033,-0.022390260951056562
100,8,1.5,scurve,HT2,1.6870588,9.885133,1.76392514,10.013403779999999,-0.044554861314171954,-0.012892662227907492
100,8,1.5,sharp,HM,1.1260746799999999,1.67802458,0.9659583700000001,1.2490625,0.15337239172275455,0.2952239864051638
100,8,1.5,sharp,HT1,0.80618656,1.07959729,1.08027445,1.52815047,-0.2926552284627076,-0.3474700690572582
100,8,1.5,sharp,HT2,0.9506525600000001,1.2802726999999998,1.01942557,1.39541732,-0.0698459269274355,-0.08612042254225749
100,8,1.5,zigzag,HM,1.59485196,11.53288589,2.09055538,12.851548009999998,-0.2706488458514234,-0.10826167481160004
100,8,1.5,zigzag,HT1,1.54872778,13.05003913,1.89158714,14.104722670000001,-0.19998242648277514,-0.07771855020697459
100,8,1.5,zigzag,HT2,1.91893249,13.35506545,2.00469437,13.71001855,-0.04372257859848675,-0.026231099264157454
100,8,2.0,random,HM,0.59029215,36.03090144,0.57646395,36.855368750000004,0.023704778605310475,-0.022624356420134474
100,8,2.0,random,HT1,1.3450191,85.15784778999999,1.3592939999999998,86.016803,-0.010557233616219304,-0.010036093729398256
100,8,2.0,random,HT2,1.0063245,63.81034549,1.0091074500000001,64.00802147,-0.002761643000370594,-0.0030930787538735074
100,8,2.0,scurve,HM,0.82526528,8.90569801,0.88174652,9.1108749,-0.06619973624823985,-0.022777446258545376
100,8,2.0,scurve,HT1,1.03433241,9.381977299999999,1.2543523,9.626413079999999,-0.1928631396297988,-0.025720142527707438
100,8,2.0,scurve,HT2,0.91364385,9.32081409,1.01818736,9.459107229999999,-0.10833839264201477,-0.01472803186498558
100,8,2.0,sharp,HM,0.6628395,1.12851337,0.55701,0.70207938,0.17394968634396563,0.4746099692165238
100,8,2.0,sharp,HT1,0.6246222,0.85406086,0.88029945,1.31390211,-0.3431151467149527,-0.4307542426661994
100,8,2.0,sharp,HT2,0.6499541999999999,0.90099942,0.7127143499999999,1.02969886,-0.09217881013546617,-0.13351705566457325
100,8,2.0,zigzag,HM,0.91736772,11.002668960000001,1.03722705,12.153362139999999,-0.12279773800707044,-0.09946797475330219
100,8,2.0,zigzag,HT1,1.0531450100000002,12.64183334,1.38365913,13.50714872,-0.27295059853613546,-0.06620765918256225
100,8,2.0,zigzag,HT2,1.13314252,12.716118550000001,1.21291301,12.976230800000002,-0.0680301485602901,-0.02024891799260183
100,8,2.5,random,HM,0.36425239,20.711462230000002,0.34194761999999995,21.41927158,0.06318943904337893,-0.03360377996861537
100,8,2.5,random,HT1,1.17740194,74.83937789,1.19156404,75.66876722,-0.01195649818059202,-0.011021300206779518
100,8,2.5,random,HT2,0.7948751799999999,50.940198099999996,0.79755469,51.13667793,-0.0033653130719801527,-0.0038496490153455284
100,8,2.5,scurve,HM,0.7319428499999999,8.84586296,0.56656354,8.89590299,0.25611320056386894,-0.005640944969234499
