pop,n,step_ratio,pattern,threshold_range,gain_scheme,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
50,8,1.5,random,HM,Global,0.83027315,53.01734685,0.90452174,57.53290630000001,-0.08565159688931875,-0.08173790853175127
50,8,1.5,random,HT1,Agent,1.4457679300000001,90.96828903,1.61225889,99.02431455,-0.10899561307949983,-0.08485444790612424
50,8,1.5,random,HT1,Global,1.52972095,96.04508184000001,1.62746418,100.38646317999999,-0.06193775249264191,-0.04420968554384539
50,8,1.5,random,HT2,Agent,1.18473371,75.35602508,1.29451211,81.34548337,-0.08861584309420342,-0.07648142804159552
50,8,1.5,random,HT2,Global,1.27771693,81.07690307,1.31423672,82.73910451,-0.028181219144843308,-0.020294213160334494
50,8,1.5,scurve,HM,Agent,1.3913125199999998,9.43266125,1.0846200400000001,9.29955248,0.24901782849137027,0.014211989288678667
50,8,1.5,scurve,HM,Global,1.45312172,9.45807459,1.2815124900000001,9.34291863,0.12567313942129424,0.01225014005707922
50,8,1.5,scurve,HT1,Agent,1.43444864,9.66928648,0.66598828,9.150484290000001,0.7672637585766856,0.05514771401714793
50,8,1.5,scurve,HT1,Global,1.48335728,9.696665789999999,0.7557436900000001,9.19929671,0.6743609458792447,0.05265505686217844
50,8,1.5,scurve,HT2,Agent,1.52018801,9.772340759999999,1.07777138,9.49103103,0.34393864592555895,0.02920877329154576
50,8,1.5,scurve,HT2,Global,1.5499165,9.7871582,1.12498881,9.51160673,0.32042796957207215,0.028558324696179735
50,8,1.5,sharp,HM,Agent,0.7213647299999999,0.9182554199999999,0.84694148,1.04847761,-0.1604867251270342,-0.13261890858393194
50,8,1.5,sharp,HM,Global,0.78925125,1.00888441,0.90064298,1.1384485,-0.13202421924954055,-0.12082119470043166
50,8,1.5,sharp,HT1,Agent,0.55657414,0.7496691400000001,0.37592098,0.4978129,0.39242142562968174,0.4094076589104474
50,8,1.5,sharp,HT1,Global,0.68494089,0.92733062,0.53575272,0.7209863599999999,0.24565983123239063,0.25168993892165703
50,8,1.5,sharp,HT2,Agent,0.69302601,0.93939741,0.53579376,0.70060606,0.2573182200470367,0.2932928560553257
50,8,1.5,sharp,HT2,Global,0.79017002,1.07681701,0.62909585,0.8552703300000001,0.22796450766672927,0.23034716116860832
50,8,1.5,zigzag,HM,Agent,1.6241677300000001,12.47400338,1.4938401300000002,12.734245040000001,0.08364544547324101,-0.020648075313763798
50,8,1.5,zigzag,HM,Global,1.74558898,12.521449239999999,1.69562827,12.75413159,0.02903869013951668,-0.018412152420704438
50,8,1.5,zigzag,HT1,Agent,1.25208237,12.6141176,0.79574635,12.313775960000001,0.4532828609468048,0.024097998774579753
50,8,1.5,zigzag,HT1,Global,1.3551460599999998,12.722874039999999,0.93205342,12.39044155,0.37427439022288117,0.026476146313757953
50,8,1.5,zigzag,HT2,Agent,1.6152839,12.83123561,1.23374519,12.59220323,0.269456317624068,0.018804649146460316
50,8,1.5,zigzag,HT2,Global,1.68398396,12.89514501,1.3154787,12.58485167,0.24696176102917303,0.02435704244970465
50,8,2.0,random,HM,Agent,0.4897833,28.32799927,0.578877,35.8536513,-0.1671269713846772,-0.2355947221916736
50,8,2.0,random,HM,Global,0.5198319,31.540635090000002,0.5787801,35.97483433,-0.10741712260540785,-0.13154293027044706
50,8,2.0,random,HT1,Agent,1.2366387,78.47868025,1.4294505000000002,88.42401581,-0.14489313154828884,-0.11931660607687963
50,8,2.0,random,HT1,Global,1.3308264,84.27610489,1.4344044,89.20298288,-0.07494960813170963,-0.056816107820409766
50,8,2.0,random,HT2,Agent,0.9038187000000001,57.86716878,1.0535835,66.25107186,-0.15332370253281807,-0.13530145316009332
50,8,2.0,random,HT2,Global,1.0048518,64.39050424,1.0454442,66.23928169,-0.03960179891891662,-0.02830749341718191
50,8,2.0,scurve,HM,Agent,0.7026839699999999,8.98443539,0.72961178,9.0973164,-0.037605338535973795,-0.012485789847369982
50,8,2.0,scurve,HM,Global,0.7642451,9.01160755,0.7813544400000001,9.060357549999999,-0.022140326079975323,-0.005395109826543649
50,8,2.0,scurve,HT1,Agent,0.85075102,9.27404505,0.31276394,8.88878168,1.000670791626577,0.042429647359137825
50,8,2.0,scurve,HT1,Global,0.9092722500000001,9.310227130000001,0.38858968,8.93851221,0.8501205745654384,0.04074433146632239
50,8,2.0,scurve,HT2,Agent,0.68532426,9.15825869,0.35115483,8.93416832,0.6686648612036233,0.024772998132395155
50,8,2.0,scurve,HT2,Global,0.72491997,9.18012519,0.41539181,8.96776332,0.556839067243569,0.023404547987350453
50,8,2.0,sharp,HM,Agent,0.4014858,0.71536662,0.5111766,0.73956437,-0.24154296197872416,-0.033266157138798484
50,8,2.0,sharp,HM,Global,0.4527564,0.62673208,0.5082294,0.67612498,-0.11557868795224767,-0.07585879592417694
50,8,2.0,sharp,HT1,Agent,0.4932786,0.83907208,0.4866348,0.99135937,0.013560181550803765,-0.1667804877208476
50,8,2.0,sharp,HT1,Global,0.5115,0.66749537,0.4764156,0.7086546199999999,0.07105700285472169,-0.059835817109271404
50,8,2.0,sharp,HT2,Agent,0.4260447,0.62687327,0.3120441,0.57869466,0.3113997463672101,0.07996941803339219
50,8,2.0,sharp,HT2,Global,0.49553670000000005,0.65135904,0.4037895,0.55251662,0.2047477150577564,0.164577496526797
50,8,2.0,zigzag,HM,Agent,0.7419772600000001,11.93322271,0.75286942,12.09356213,-0.014573203950024854,-0.013346921055264513
50,8,2.0,zigzag,HM,Global,0.82098163,11.953943879999999,0.82495283,12.05738308,-0.00482547489266185,-0.008615920316638269
50,8,2.0,zigzag,HT1,Agent,0.74754548,12.21568986,0.43696857,12.004674950000002,0.5369338759110887,0.017425026489926235
50,8,2.0,zigzag,HT1,Global,0.85760682,12.35119125,0.56438,12.12252664,0.4184179592205878,0.018687088350675892
50,8,2.0,zigzag,HT2,Agent,0.7739376400000001,12.23142641,0.47400892,12.062313679999999,0.4902651617850507,0.013922554622228668
50,8,2.0,zigzag,HT2,Global,0.85913359,12.30924945,0.59208928,12.11838718,0.372266993612806,0.015627066752739366
50,8,2.5,random,HM,Agent,0.32807157,18.45700948,0.37659391999999997,20.52828157,-0.1379356858411516,-0.10635930821529642
50,8,2.5,random,HM,Global,0.33548229,18.99751195,0.3767661,21.098614729999998,-0.11605540236875074,-0.10489936512841824
50,8,2.5,random,HT1,Agent,1.07095841,67.76013364,1.27590182,78.03333622999999,-0.17509928054350535,-0.14116210035277127
50,8,2.5,random,HT1,Global,1.16966473,74.27808985,1.27307056,79.12772568,-0.0847145939725122,-0.06324730702549665
50,8,2.5,random,HT2,Agent,0.7004589400000001,44.64960712,0.85257338,53.047092240000005,-0.19652353291534289,-0.1723345436910368
50,8,2.5,random,HT2,Global,0.7999121800000001,51.318568539999994,0.8352420700000001,52.75232502,-0.0432196403861609,-0.02755520106426212
50,8,2.5,scurve,HM,Agent,0.51340168,8.87122557,0.60600431,9.01867985,-0.16582855752125952,-0.01648500825640181
50,8,2.5,scurve,HM,Global,0.56294434,8.89387433,0.61655245,8.974069329999999,-0.09096263601368615,-0.008976470937546804
