pop,n,step_ratio,pattern,threshold_range,threshold_mode,R_agent,R_abs_agent,R_global,R_abs_global,R_log_ratio,R_abs_log_ratio
50,8,1.5,zigzag,HM,clamped,1.4938401300000002,12.734245040000001,1.69562827,12.75413159,-0.1267032599689142,-0.0015604410060282635
50,8,1.5,zigzag,HM,latent,1.6241677300000001,12.47400338,1.74558898,12.521449239999999,-0.07209650463518998,-0.0037963638990876286
50,8,1.5,zigzag,HT1,clamped,0.79574635,12.313775960000001,0.93205342,12.39044155,-0.15810965135561933,-0.006206700219129219
50,8,1.5,zigzag,HT1,latent,1.25208237,12.6141176,1.3551460599999998,12.722874039999999,-0.07910118063169568,-0.008584847758307519
50,8,1.5,zigzag,HT2,clamped,1.23374519,12.59220323,1.3154787,12.58485167,-0.06414621672990477,0.0005839888929133161
50,8,1.5,zigzag,HT2,latent,1.6152839,12.83123561,1.68398396,12.89514501,-0.041651660135009684,-0.0049684044103312066
50,8,2.0,random,HM,clamped,0.578877,35.8536513,0.5787801,35.97483433,0.0001674070849240497,-0.003374236388648538
50,8,2.0,random,HM,latent,0.4897833,28.32799927,0.5198319,31.540635090000002,-0.0595424416943453,-0.1074260283098751
50,8,2.0,random,HT1,clamped,1.4294505000000002,88.42401581,1.4344044,89.20298288,-0.003459606100189892,-0.008770874579341918
50,8,2.0,random,HT1,latent,1.2366387,78.47868025,1.3308264,84.27610489,-0.07340312951676915,-0.07127137283581175
50,8,2.0,random,HT2,clamped,1.0535835,66.25107186,1.0454442,66.23928169,0.007755343862353199,0.00017797778804591282
50,8,2.0,random,HT2,latent,0.9038187000000001,57.86716878,1.0048518,64.39050424,-0.10596655975154816,-0.10681598195486551
50,8,2.0,scurve,HM,clamped,0.72961178,9.0973164,0.7813544400000001,9.060357549999999,-0.06851629085269621,0.004070884975933867
50,8,2.0,scurve,HM,latent,0.7026839699999999,8.98443539,0.7642451,9.01160755,-0.08398130330869463,-0.0030197950448925255
50,8,2.0,scurve,HT1,clamped,0.31276394,8.88878168,0.38858968,8.93851221,-0.21707525902405184,-0.005579159608152524
50,8,2.0,scurve,HT1,latent,0.85075102,9.27404505,0.9092722500000001,9.310227130000001,-0.06652504196291358,-0.003893843715337225
50,8,2.0,scurve,HT2,clamped,0.35115483,8.93416832,0.41539181,8.96776332,-0.16799495799513192,-0.0037532306694691995
50,8,2.0,scurve,HT2,latent,0.68532426,9.15825869,0.72491997,9.18012519,-0.05616916403507762,-0.0023847805244245368
50,8,2.0,sharp,HM,clamped,0.5111766,0.73956437,0.5082294,0.67612498,0.005782206915331667,0.08968338305224956
50,8,2.0,sharp,HM,latent,0.4014858,0.71536662,0.4527564,0.62673208,-0.12018206711114467,0.13227602183762802
50,8,2.0,sharp,HT1,clamped,0.4866348,0.99135937,0.4764156,0.7086546199999999,0.021223361901385282,0.3357088312675765
50,8,2.0,sharp,HT1,latent,0.4932786,0.83907208,0.5115,0.66749537,-0.03627345940253267,0.22876416065600028
50,8,2.0,sharp,HT2,clamped,0.3120441,0.57869466,0.4037895,0.55251662,-0.2577491785939837,0.046291466570728225
50,8,2.0,sharp,HT2,latent,0.4260447,0.62687327,0.49553670000000005,0.65135904,-0.15109714728452997,-0.03831661192267652
50,8,2.0,zigzag,HM,clamped,0.75286942,12.09356213,0.82495283,12.05738308,-0.09143440919499922,0.002996079594303527
50,8,2.0,zigzag,HM,latent,0.7419772600000001,11.93322271,0.82098163,11.953943879999999,-0.10118213825236232,-0.0017349211443225753
50,8,2.0,zigzag,HT1,clamped,0.43696857,12.004674950000002,0.56438,12.12252664,-0.2558665131774339,-0.009769274473057329
50,8,2.0,zigzag,HT1,latent,0.74754548,12.21568986,0.85760682,12.35119125,-0.13735059648693293,-0.011031336333807113
50,8,2.0,zigzag,HT2,clamped,0.47400892,12.062313679999999,0.59208928,12.11838718,-0.2224312942405991,-0.0046378805011536356
50,8,2.0,zigzag,HT2,latent,0.7739376400000001,12.23142641,0.85913359,12.30924945,-0.10443312606835434,-0.006342392631664413
50,8,2.5,random,HM,clamped,0.37659391999999997,20.52828157,0.3767661,21.098614729999998,-0.0004570988595810254,-0.027403861553573685
50,8,2.5,random,HM,latent,0.32807157,18.45700948,0.33548229,18.99751195,-0.022337382331981737,-0.0288638046404519
50,8,2.5,random,HT1,clamped,1.27590182,78.03333622999999,1.27307056,79.12772568,0.00222149222688887,-0.013927204693898076
50,8,2.5,random,HT1,latent,1.07095841,67.76013364,1.16966473,74.27808985,-0.08816319434410433,-0.09184199802117274
50,8,2.5,random,HT2,clamped,0.85257338,53.047092240000005,0.8352420700000001,52.75232502,0.02053769467128678,0.005572204277309969
50,8,2.5,random,HT2,latent,0.7004589400000001,44.64960712,0.7999121800000001,51.318568539999994,-0.13276619785789534,-0.1392071383494647
50,8,2.5,scurve,HM,clamped,0.60600431,9.01867985,0.61655245,8.974069329999999,-0.01725629777815915,0.004958732094183046
50,8,2.5,scurve,HM,latent,0.51340168,8.87122557,0.56294434,8.89387433,-0.09212221928573248,-0.002549805224672013
50,8,2.5,scurve,HT1,clamped,0.35169673,8.91605554,0.409142,8.96574632,-0.15129304231114923,-0.005557707024547669
50,8,2.5,scurve,HT1,latent,0.74321554,9.22339427,0.78648411,9.25653837,-0.0565864220000894,-0.0035870407305088696
50,8,2.5,scurve,HT2,clamped,0.26945584,8.85775125,0.3165175,8.89063995,-0.1609740143901992,-0.0037061091649278365
